"call_detail_id","tenant_id","call_record_id","text","start_offset","end_offset","type","debug_log","robot_knowledge_id","dialog_flow_node_id","intent_branch_id","creation_time","last_modified_time"
"114","1","10","喂，你只要你","800","2335","1","机器人正在放音，当前节点不可打断","","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"115","1","10","你是谁啊，你是谁？","5690","7505","1","语义命中知识库：干什么的","28","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"116","1","10","我这边是一知房产的，目前热销的住宅是奥体中心附近的奥体公馆，想问下您近期是否有购房的需要","","","2","","","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"117","1","10","我不敢兴趣，你是谁？","8520","10535","1","未识别，继续放音","","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"118","1","10","一直还款是什么公司，我没听说过这不是三在的","13790","18175","1","检测到关键词：什么公司，命中知识库：公司名称","33","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"119","1","10","我们公司叫一知房产，专业做房地产开发的。","","","2","","","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"120","1","10","呃，假的话，股票代码多少","23200","25765","1","检测到关键词：假的，命中知识库：骗子","12","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"121","1","10","您可以在网上搜一下“奥体公馆”，也可以来楼盘这边实地看一下的，我们楼盘真的很不错的。","","","2","","","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"122","1","10","看","28850","30585","1","用户说的话: 看 为噪音，已经被过滤","","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"123","1","10","什么楼盘，你说一下","32890","34855","1","未识别，继续放音","","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"124","1","10","你说一下什么楼盘，我都不知道什么时候看","39300","42005","1","检测到关键词：都不知道，命中知识库：不专业","18","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"125","1","10","实在不好意思，您问的问题我记下来了，稍后我让我们资深客户经理给您回个电话详细介绍一下，您留意下电话，我这边马上安排，抱歉，再见！","","","2","","","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"126","1","10","喂，您好，在吗？","","","2","","","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
"127","1","13","喂，您好, （停顿2s），您好，想问下您位于钱塘江边、奥体中心附近，均价只要20000的现房楼盘，有兴趣了解一下吗？","","","2","","","156","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"128","1","13","你好","1570","2465","1","机器人正在放音，当前节点不可打断","","156","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"129","1","13","嗯这","3030","4725","1","机器人正在放音，当前节点不可打断","","156","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"130","1","13","多少钱","9940","10965","1","检测到关键词：多少钱，命中知识库：询问价格","31","156","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"131","1","13","这次我们是首次开盘，不同的楼层价格都是不一样的，目前均价在20000元左右，是个价格洼地，后面肯定会涨价的，现在买最划算","","","2","","","156","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"132","1","13","嗯好吧","26080","27665","1","默认分支","","156","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"133","1","13","我们项目名称叫奥体公馆，位于钱塘江边，离奥体中心1公里的位置，那这边大概位置您知道吗？","","","2","","","161","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"134","1","13","对","30210","30985","1","未识别，继续放音","","156","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"135","1","13","哦","32390","33535","1","用户说的话: 哦 为噪音，已经被过滤","","156","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"136","1","13","哦好吧","37530","39075","1","默认分支","","161","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"137","1","13","目前主推户型有89方，125方的，户型都是坐北朝南，南北通透，稍高楼层可俯视江景，一梯两户，均价只要20000，距离杭州主城区只有20分钟车程，交通非常方便，您买来投资或者自己住都很不错。 ","","","2","","","168","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"138","1","13","没有没有","45820","47915","1","检测到关键词：没有，命中分支：否定","","168","3","2018-08-09 00:43:49","2018-08-09 00:43:49"
"139","1","13","这样啊，那也没关系，我待会给您发条短信，把楼盘信息发给您，如果后续有兴趣可以直接联系我，那就先不打扰了，祝您生活愉快，再见","","","2","","","169","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"140","1","13","嗯","59860","60600","1","用户说的话: 嗯 为噪音，已经被过滤","","168","","2018-08-09 00:43:49","2018-08-09 00:43:49"
"141","1","14","喂，您好, （停顿2s），您好，想问下您位于钱塘江边、奥体中心附近，均价只要20000的现房楼盘，有兴趣了解一下吗？","","","2","","","156","","2018-08-09 00:43:59","2018-08-09 00:43:59"
"142","1","14","短信这","9220","11005","1","默认分支","","156","","2018-08-09 00:43:59","2018-08-09 00:43:59"
"143","1","14","我们项目名称叫奥体公馆，位于钱塘江边，离奥体中心1公里的位置，那这边大概位置您知道吗？","","","2","","","161","","2018-08-09 00:43:59","2018-08-09 00:43:59"
"144","1","14","喂你好","12130","13325","1","未识别，继续放音","","156","","2018-08-09 00:43:59","2018-08-09 00:43:59"
"145","1","14","哦，我知道，谢谢","20270","22875","1","检测到关键词：知道，命中分支：肯定","","161","2","2018-08-09 00:43:59","2018-08-09 00:43:59"
"146","1","14","目前主推户型有89方，125方的，户型都是坐北朝南，南北通透，稍高楼层可俯视江景，一梯两户，均价只要20000，距离杭州主城区只有20分钟车程，交通非常方便，您买来投资或者自己住都很不错。 ","","","2","","","168","","2018-08-09 00:43:59","2018-08-09 00:43:59"
"147","1","14","在进","30200","31545","1","未识别，继续放音","","161","","2018-08-09 00:43:59","2018-08-09 00:43:59"
"148","1","14","这","34010","34735","1","用户说的话: 这 为噪音，已经被过滤","","161","","2018-08-09 00:43:59","2018-08-09 00:43:59"
"155","1","16","喂，您好, （停顿2s），您好，想问下您位于钱塘江边、奥体中心附近，均价只要20000的现房楼盘，有兴趣了解一下吗？","","","2","","","156","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"156","1","16","喂你啥","490","1815","1","机器人正在放音，当前节点不可打断","","156","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"157","1","16","什么兴趣？","9580","11465","1","检测到关键词：^什么$，命中知识库：干什么的","28","156","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"158","1","16","我这边是一知房产的，目前热销的住宅是奥体中心附近的奥体公馆，想问下您近期是否有购房的需要","","","2","","","156","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"159","1","16","对","18650","19335","1","未识别，继续放音","","156","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"160","1","16","呃，多少钱一天的啊","21940","23865","1","检测到关键词：多少钱，命中知识库：询问价格","31","156","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"161","1","16","这次我们是首次开盘，不同的楼层价格都是不一样的，目前均价在20000元左右，是个价格洼地，后面肯定会涨价的，现在买最划算","","","2","","","156","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"162","1","16","嗯，有没有5万元钱的","38020","40485","1","检测到关键词：没有，命中分支：否定","","156","3","2018-08-09 00:45:20","2018-08-09 00:45:20"
"163","1","16","买不买没关系的，可以先了解一下嘛，我们项目在钱塘江边，环境啊交通啊都很好，自己住和投资都是很不错的。","","","2","","","158","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"164","1","16","哦","48910","49645","1","用户说的话: 哦 为噪音，已经被过滤","","156","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"165","1","16","哎，为什么投资很不错呢，你这个孙子空间有多大？","50940","55405","1","检测到关键词：投资，命中知识库：投资回报率","61","158","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"166","1","16","投资回报率还是很高的，我们项目周边10分钟内配套齐全，现在是价格洼地，后期出租转让都没有问题的。","","","2","","","158","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"167","1","16","哎，后期的是什么时候啊，那你这个什么时候能交付？","67620","71785","1","检测到关键词：什么时.*交，命中知识库：交付时间","44","158","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"168","1","16","明年4月份就可以交付了，您可以来项目的实地考察的","","","2","","","158","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"169","1","16","哦","72220","73235","1","用户说的话: 哦 为噪音，已经被过滤","","158","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"170","1","16","哎，你这个有许可证号吗，你是呃那个我要审批吗？","76110","84275","1","默认分支","","158","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"171","1","16","我们项目名称叫奥体公馆，位于钱塘江边，离奥体中心1公里的位置，那这边大概位置您知道吗？","","","2","","","161","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"172","1","16","呃，好几中心是哪个城市高？","94260","97695","1","默认分支","","161","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"173","1","16","目前主推户型有89方，125方的，户型都是坐北朝南，南北通透，稍高楼层可俯视江景，一梯两户，均价只要20000，距离杭州主城区只有20分钟车程，交通非常方便，您买来投资或者自己住都很不错。 ","","","2","","","168","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"174","1","16","中国到","98400","99585","1","未识别，继续放音","","161","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"175","1","16","我要提供","100040","100855","1","未识别，继续放音","","161","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"176","1","16","我在说什么，我看他他他他他他答非所问","103750","108100","1","检测到关键词：答非所问，命中知识库：不专业","18","168","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"177","1","16","实在不好意思，您问的问题我记下来了，稍后我让我们资深客户经理给您回个电话详细介绍一下，您留意下电话，我这边马上安排，抱歉，再见！","","","2","","","168","","2018-08-09 00:45:20","2018-08-09 00:45:20"
"178","1","17","喂，您好, （停顿2s），您好，想问下您位于钱塘江边、奥体中心附近，均价只要20000的现房楼盘，有兴趣了解一下吗？","","","2","","","156","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"179","1","17","哎你好","1510","2615","1","机器人正在放音，当前节点不可打断","","156","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"180","1","17","好","6710","7545","1","默认分支","","156","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"181","1","17","我们项目名称叫奥体公馆，位于钱塘江边，离奥体中心1公里的位置，那这边大概位置您知道吗？","","","2","","","161","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"182","1","17","哎","10910","11695","1","用户说的话: 哎 为噪音，已经被过滤","","156","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"183","1","17","在清楚","16880","18135","1","默认分支","","161","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"184","1","17","目前主推户型有89方，125方的，户型都是坐北朝南，南北通透，稍高楼层可俯视江景，一梯两户，均价只要20000，距离杭州主城区只有20分钟车程，交通非常方便，您买来投资或者自己住都很不错。 ","","","2","","","168","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"185","1","17","是不是真得？","27940","29445","1","未识别，继续放音","","161","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"186","1","17","是真的吗？","32130","33395","1","语义命中知识库：真实信息","52","168","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"187","1","17","信息都是真实的，网上也都查到呢，楼盘名称叫奥体公馆，您这边可以过来实际考察的","","","2","","","168","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"188","1","17","你是机器人吗？","39140","40735","1","检测到关键词：机器，命中知识库：机器人","13","168","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"189","1","17","啊，您刚才说什么。","","","2","","","168","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"190","1","17","这机器人吗？","43690","44995","1","检测到关键词：机器，命中知识库：机器人","13","168","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"191","1","17","您说笑了，我们的楼盘性价比各方面真的很不错，想问问您有没有时间过来考察一下 ","","","2","","","168","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"192","1","17","你试试这些呀","53260","54615","1","默认分支","","168","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"193","1","17","要不您来我们项目售楼部实地考察一下，然后做个全面的了解嘛，您明天有空过来吗？","","","2","","","171","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"194","1","17","号码哪里来的啊？","60740","62165","1","检测到关键词：号码.*哪里，命中知识库：号码是哪里来的","14","171","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"195","1","17","我们是电脑随机拨号码段的，主要是我们的楼盘真的很不错，想推荐给您","","","2","","","171","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"196","1","17","嗯，如果说有过去看一下吧","70430","72695","1","语义命中知识库：有时间去了解一下","17","171","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"197","1","17","好的，那您留意下手机，晚会我们客户经理会跟您预约下具体的时间带您去看房，我这边帮您登记好了，祝您早日买到心仪的房子，再见！","","","2","","","171","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"198","1","17","你这个老是答非所问啊","82370","84425","1","检测到关键词：答非所问，命中知识库：不专业","18","171","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"199","1","17","实在不好意思，您问的问题我记下来了，稍后我让我们资深客户经理给您回个电话详细介绍一下，您留意下电话，我这边马上安排，抱歉，再见！","","","2","","","171","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"200","1","17","所以要记得嘛","93830","95425","1","未识别，继续放音","","171","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"201","1","17","嗯，现在不在说","100030","102145","1","默认分支","","171","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"202","1","17","哦，好的，那我先把楼盘信息发到你的手机上，到时候再跟您具体联系，请问您贵姓啊？","","","2","","","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"203","1","17","嗯","111960","113375","1","用户说的话: 嗯 为噪音，已经被过滤","","171","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"204","1","17","开车去，也可以吗？","113800","115265","1","检测到关键词：开车.*去，命中知识库：自己开车","81","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"205","1","17","自己开车的话您直接导航就可以到我们这里的，我们客户经理会提前跟您联系，您方便的话加下您微信，发你定位，到了后会去接您。","","","2","","","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"206","1","17","嗯嗯","120380","121425","1","用户说的话: 嗯嗯 为噪音，已经被过滤","","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"207","1","17","那没有","123150","124225","1","未识别，继续放音","","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"208","1","17","所以没钱啊","128610","129985","1","检测到关键词：没钱，命中知识库：没钱","27","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"209","1","17","这个没关系的，我们房子性价比很高，您可以先了解了解，买不买都先过来看下嘛，我们的户型您看了一定会喜欢的","","","2","","","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"210","1","17","你是干什么的呀？","137490","138975","1","检测到关键词：干什么，命中知识库：干什么的","28","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"211","1","17","我这边是一知房产的，目前热销的住宅是奥体中心附近的奥体公馆，想问下您近期是否有购房的需要","","","2","","","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"212","1","17","怎么称呼你啊","144090","145535","1","检测到关键词：称呼，命中知识库：怎么称呼","30","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"213","1","17","我姓王，你叫我小王就可以了","","","2","","","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"214","1","17","先多少钱应该来说","148590","150375","1","检测到关键词：多少钱，命中知识库：询问价格","31","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"215","1","17","这次我们是首次开盘，不同的楼层价格都是不一样的，目前均价在20000元左右，是个价格洼地，后面肯定会涨价的，现在买最划算","","","2","","","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"216","1","17","你们公司叫什么名字啊","154450","156165","1","检测到关键词：公司.*名，命中知识库：公司名称","33","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"217","1","17","我们公司叫一知房产，专业做房地产开发的。","","","2","","","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"218","1","17","就是多久啦。","161470","162855","1","默认分支","","176","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"219","1","17","哦，好的，好的，那您这边注意查收下短信，到时候您有什么问题可以随时联系我，这边先这样，不打扰您了，祝您生活愉快，再见！","","","2","","","177","","2018-08-09 09:16:18","2018-08-09 09:16:18"
"220","1","18","喂，您好, （停顿2s），您好，想问下您位于钱塘江边、奥体中心附近，均价只要20000的现房楼盘，有兴趣了解一下吗？","","","2","","","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"221","1","18","喂你好","700","2455","1","机器人正在放音，当前节点不可打断","","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"222","1","18","什么意思啊","9140","10405","1","检测到关键词：^什么$，命中知识库：干什么的","28","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"223","1","18","我这边是一知房产的，目前热销的住宅是奥体中心附近的奥体公馆，想问下您近期是否有购房的需要","","","2","","","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"224","1","18","是哪个开发商开发的呀？","20710","22765","1","检测到关键词：开发商，命中知识库：开发商","76","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"225","1","18","我们这边是一知房地产集团开发的呢，是开发商直销的，所以价格也是可以给您争取到最优惠的。","","","2","","","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"226","1","18","要这么样","27430","28665","1","未识别，继续放音","","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"227","1","18","交通方便吗？","32270","33705","1","检测到关键词：交通，命中知识库：交通","35","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"228","1","18","项目位于奥体中心西南部，到杭州主城区市中心不到半小时，距离滨江新城仅10分钟，高铁6号线和7号线正在建设中，年底就可以投入使用了，上秋石高架也就5分钟路程，交通是非常方便的。","","","2","","","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"229","1","18","你们那边这边的房价是多少？","39310","42485","1","语义命中知识库：周边房价","89","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"230","1","18","小区周边的房价都达到3-4万一平米了，您可以上网查一下奥体中心这边的房价，买到就是赚到。","","","2","","","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"231","1","18","现在对我什么面积的","47020","48805","1","检测到关键词：面积，命中知识库：户型","38","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"232","1","18","我们目前主推的户型是89和125方的，89平的基本上都是3室一厅一卫的；125平中间套3室2厅1卫；也有边套3室2厅2卫，您也可以来我们售楼部实地考察一下嘛。","","","2","","","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"233","1","18","小孩读书方便吗？","52780","54425","1","检测到关键词：读书，命中知识库：学区","39","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"234","1","18","附近幼儿园、小学、都是有的，初中明年也可以招生了，小孩子上学还是很方便的。","","","2","","","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"235","1","18","因为也是买家","59520","60805","1","默认分支","","156","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"236","1","18","我们项目名称叫奥体公馆，位于钱塘江边，离奥体中心1公里的位置，那这边大概位置您知道吗？","","","2","","","161","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"237","1","18","你们这个水电费是商用什么样得？","66070","69345","1","检测到关键词：水电，命中知识库：水电","42","161","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"238","1","18","水电都是民用的，真的很划算","","","2","","","161","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"239","1","18","产权是多少年？","74030","75385","1","检测到关键词：产权，命中知识库：产权","43","161","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"240","1","18","住宅都是70年的产权呢，而且产权到期以后办下手续交点钱就可以继续使用呢。","","","2","","","161","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"241","1","18","所以是欠款还是没配，上，有现房还是期房啊","79630","83195","1","检测到关键词：期房，命中知识库：期房","74","161","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"242","1","18","最快的话明年5月份就可以交房了 ","","","2","","","161","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"243","1","18","嗯，是今天之后呢","87940","89705","1","默认分支","","161","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"244","1","18","目前主推户型有89方，125方的，户型都是坐北朝南，南北通透，稍高楼层可俯视江景，一梯两户，均价只要20000，距离杭州主城区只有20分钟车程，交通非常方便，您买来投资或者自己住都很不错。 ","","","2","","","168","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"245","1","18","其实我也没有。","94880","96095","1","检测到关键词：没有，命中分支：否定","","168","3","2018-08-09 09:18:23","2018-08-09 09:18:23"
"246","1","18","这样啊，那也没关系，我待会给您发条短信，把楼盘信息发给您，如果后续有兴趣可以直接联系我，那就先不打扰了，祝您生活愉快，再见","","","2","","","169","","2018-08-09 09:18:23","2018-08-09 09:18:23"
"247","1","19","喂，您好, （停顿2s），您好，想问下您位于钱塘江边、奥体中心附近，均价只要20000的现房楼盘，有兴趣了解一下吗？","","","2","","","156","","2018-08-09 09:41:40","2018-08-09 09:41:40"
"248","1","19","喂你好","570","1525","1","机器人正在放音，当前节点不可打断","","156","","2018-08-09 09:41:40","2018-08-09 09:41:40"
"249","1","19","嗯，你说吧","9090","10185","1","用户说的话: 嗯，你说吧 为噪音，已经被过滤","","156","","2018-08-09 09:41:40","2018-08-09 09:41:40"
"250","1","19","可以啊","14730","15635","1","默认分支","","156","","2018-08-09 09:41:40","2018-08-09 09:41:40"
"251","1","19","我们项目名称叫奥体公馆，位于钱塘江边，离奥体中心1公里的位置，那这边大概位置您知道吗？","","","2","","","161","","2018-08-09 09:41:40","2018-08-09 09:41:40"
"252","1","19","嗯，知道了","25190","26725","1","检测到关键词：知道，命中分支：肯定","","161","2","2018-08-09 09:41:40","2018-08-09 09:41:40"
"253","1","19","目前主推户型有89方，125方的，户型都是坐北朝南，南北通透，稍高楼层可俯视江景，一梯两户，均价只要20000，距离杭州主城区只有20分钟车程，交通非常方便，您买来投资或者自己住都很不错。 ","","","2","","","168","","2018-08-09 09:41:40","2018-08-09 09:41:40"
"254","1","19","多少钱啊？","27620","28705","1","检测到关键词：多少钱，命中知识库：询问价格","31","168","","2018-08-09 09:41:40","2018-08-09 09:41:40"
"255","1","19","这次我们是首次开盘，不同的楼层价格都是不一样的，目前均价在20000元左右，是个价格洼地，后面肯定会涨价的，现在买最划算","","","2","","","168","","2018-08-09 09:41:40","2018-08-09 09:41:40"
